,year,HighD+LowS_gap_wyld,HighD+HighS_gap_wyld,LowD+HighS_gap_wyld,LowD+LowS_gap_wyld,all_gap_wyld,kgha_sorghum_yld_wyld,pred_wyld,HighD+LowS_gap_wyld_%,HighD+HighS_gap_wyld_%,LowD+HighS_gap_wyld_%,LowD+LowS_gap_wyld_%,all_gap_wyld_%
0,1981.0,0.3353373986745371,0.039720070991934406,0.15769427761602348,0.050052535397826545,0.5828042826802854,3.9346299771347537,3.902449701565057,-7.476441687637421,-0.8855701623910922,-3.5158383041391135,-1.1159353644997216,-12.993785518666542
1,1982.0,0.3371956821967001,0.07518923035890952,0.22841358556951138,0.08882087890341421,0.7296193770284869,3.745660514614867,3.672078618269684,-7.660581951712444,-1.7081869414763478,-5.189215294041059,-2.017877623550988,-16.57586181077974
2,1983.0,1.0782456698099367,0.23668802364721309,0.0703102316161933,0.03851058983145948,1.4237545149047481,2.880163057816068,2.950879302287747,-24.647678294178267,-5.410464819181417,-1.6072255314232504,-0.8803157347733024,-32.54568437955499
3,1984.0,0.8141580618351866,0.15998284170912178,0.05543201206944764,0.03707466126008682,1.0666475768737933,3.1047902079646374,3.2046353356215556,-19.06120663310366,-3.7455454247973785,-1.2977836683982005,-0.8679982576576093,-24.97253398395569
4,1985.0,0.5940435071895667,0.09635039699451999,0.16129617599571225,0.08164955369816033,0.9333396338779182,4.142426799134158,4.0433002710507,-11.93663834510621,-1.9360532173344374,-3.241065841150623,-1.6406562511645388,-18.754413654754984
5,1986.0,0.3674179637021335,0.08071677968823629,0.09953319958709844,0.08436084316135091,0.6320287861387803,4.381679322307605,4.283825792062656,-7.474142244390001,-1.6419684188007069,-2.0247384865382787,-1.7160972079083756,-12.856946357636573
6,1987.0,0.38161112255467283,0.1309497212344851,0.133415786208741,0.05436380826485673,0.7003404382627145,4.367294967768174,4.21490336430311,-7.7638289753901235,-2.6641551567824067,-2.7143269300110027,-1.1060246540869056,-14.248335716269603
7,1988.0,1.0152857379458435,0.090788731871632,0.012076125642879874,0.08650120056014025,1.2046517960204544,3.7636887284238014,3.709189647706446,-20.661752105208357,-1.8476121566261474,-0.24575733224555868,-1.760357991822656,-24.51547958590188
8,1989.0,0.2736210880734617,0.043043142315255176,0.1654060778984565,0.14030330547309527,0.6223736137602247,3.174339773734174,3.5045365261794346,-6.63016830498428,-1.0429871466957727,-4.007988356656463,-3.399717966118513,-15.080861774453963
9,1990.0,0.7260036988279194,0.17124663722236563,0.13442029901021754,0.049242008970128266,1.080912644030591,3.721012603264625,3.8289957968470647,-14.786501776357866,-3.487776590631392,-2.7377353494231276,-1.0029109414782928,-22.014924657889868
10,1991.0,0.7430962792255305,0.07850525563254532,0.10079334538281942,0.06642130603959469,0.9888161862804503,3.487957231645842,3.5365309593140397,-16.420757464959312,-1.7347896881009812,-2.227306373190477,-1.4677615639776291,-21.850615090227528
11,1992.0,0.0772482281673566,0.014955499726923848,0.21098528231553806,0.07903591076137531,0.38222492097115823,4.502443455523676,4.4983073512489025,-1.5827828576619136,-0.3064317351623797,-4.3229973811763145,-1.6194117025154595,-7.831623676515337
12,1993.0,0.17780534891369984,0.08731584190413282,0.360174098970795,0.055737843569666566,0.6810331333582575,3.7594735804633364,3.7365588722357304,-4.024938217213026,-1.9765483501773122,-8.15317708187418,-1.2617245662135808,-15.41638821547727
13,1994.0,0.4106187871908921,0.05105025763177779,0.07254822732101192,0.09028634913777273,0.6245036212814092,4.6167452860889036,4.562891748794065,-7.915702542351574,-0.9841212012924906,-1.398548252934813,-1.7404948475415536,-12.038866844119557
14,1995.0,0.4670417801735569,0.14285905029773963,0.21581001723590212,0.06715486922260319,0.8928657169297533,3.5581805630297274,3.5657106763084894,-10.475132396113251,-3.204140463184523,-4.840334631547276,-1.5061953255852802,-20.025802816429238
15,1996.0,0.2619688540140752,0.046590727711645186,0.11823750354176311,0.048891478418917535,0.4756885636863436,4.3848632736402795,4.438163437295114,-5.331232075401364,-0.9481508132996167,-2.4062080729771105,-0.9949725471819725,-9.680563508858894
16,1997.0,0.22070716320065767,0.033350194050250394,0.19254462535550856,0.09276277739330231,0.5393647599996726,4.5917877241697544,4.599476132219577,-4.2948822084535,-0.6489828105156189,-3.7468493264121405,-1.80513036575534,-10.495844711135698
17,1998.0,0.8351839263611087,0.1570999476295804,0.12820815746546557,0.0409135304327624,1.1614055618888794,4.505533828932496,4.31610309109271,-15.247514504728175,-2.868091272554461,-2.3406290265863405,-0.7469368471100781,-21.203171650978366
18,1999.0,0.2709989108361794,0.135768842503574,0.2020574018994082,0.056910114670422514,0.6657352699095368,4.668255293678617,4.549913202567822,-5.195881437681684,-2.6031056966361406,-3.8740609718168715,-1.0911416858466119,-12.764189791980401
19,2000.0,1.1583118909302288,0.1751180078297176,0.07054163386016757,0.05664372465392247,1.460615257273995,4.0896993649545115,4.226934088296477,-20.365746660859045,-3.0789712262646387,-1.2402817026125004,-0.9959249794999536,-25.68092456923541
20,2001.0,0.7419892846923442,0.16365721201512767,0.1684724541064553,0.039424304230179306,1.1135432550440605,4.1482601645868495,4.290695590305724,-13.729764836926256,-3.028311973219887,-3.1174131811628154,-0.729507065811922,-20.604997057120027
21,2002.0,0.6983048246878089,0.08586646924700596,0.07276432785172435,0.0594656822009075,0.9164013039874034,3.228230452487859,3.483940527144297,-15.869331326657765,-1.951359065777906,-1.6536062570623173,-1.3513877894712065,-20.82568443896821
