,GEOID,year,percent_n_b_temp,kgha_sorghum_yld,pred,harvested_hac,HighD+LowS_pred_yld,HighD+LowS_gap,HighD+HighS_pred_yld,HighD+HighS_gap,LowD+HighS_pred_yld,LowD+HighS_gap,LowD+LowS_pred_yld,LowD+LowS_gap,all_pred_yld,all_gap,crop_name
0,05063,1981.0,0.0,4330.993763476439,3992.6446856791995,15211.223592536513,3992.644685679206,6.366462912410498e-12,3992.644685679206,6.366462912410498e-12,3992.644685679206,6.366462912410498e-12,3992.644685679206,6.366462912410498e-12,3992.644685679206,6.366462912410498e-12,Sorghum
1,05063,1982.0,0.0,3577.7774567848846,4161.315337184544,15211.223592536513,4161.315337184567,2.3646862246096134e-11,4161.315337184567,2.3646862246096134e-11,4161.315337184567,2.3646862246096134e-11,4339.835574608591,178.52023742404708,4339.835574608591,178.52023742404708,Sorghum
2,05063,1983.0,0.0,3954.385610130662,3519.2607556566754,15211.223592536513,3519.2607556566986,2.319211489520967e-11,3519.2607556566986,2.319211489520967e-11,3783.0654449050967,263.80468924842125,3519.2607556566986,2.319211489520967e-11,3783.0654449050967,263.80468924842125,Sorghum
3,05063,1984.0,0.0,3766.0815334577733,3549.280989583447,15211.223592536513,3549.2809895834607,1.3642420526593924e-11,3549.2809895834607,1.3642420526593924e-11,3681.1833342076598,131.90234462421267,3549.2809895834607,1.3642420526593924e-11,3681.1833342076598,131.90234462421267,Sorghum
4,05063,1985.0,0.0,4393.761789034069,4290.096909230341,15211.223592536513,4290.096909230359,1.8189894035458565e-11,4290.096909230359,1.8189894035458565e-11,4290.096909230359,1.8189894035458565e-11,4334.726968586365,44.630059356023594,4334.726968586365,44.630059356023594,Sorghum
5,05063,1986.0,0.8403361344537815,3138.4012778814777,3849.001017645123,15211.223592536513,4273.064613803014,424.0635961578914,3849.0010176451387,1.5916157281026244e-11,3849.0010176451387,1.5916157281026244e-11,3849.0010176451387,1.5916157281026244e-11,4273.064613803014,424.0635961578914,Sorghum
6,05063,1987.0,0.0,3766.0815334577733,4184.837929137751,15211.223592536513,4289.334677308903,104.49674817115192,4184.837929137768,1.6370904631912708e-11,4184.837929137768,1.6370904631912708e-11,4184.837929137768,1.6370904631912708e-11,4289.334677308903,104.49674817115192,Sorghum
7,05063,1988.0,0.0,4393.761789034069,3741.6423237916893,15211.223592536513,4059.6900209101104,318.0476971184212,3741.642323791704,1.4551915228366852e-11,3741.642323791704,1.4551915228366852e-11,3741.642323791704,1.4551915228366852e-11,4059.6900209101104,318.0476971184212,Sorghum
8,05063,1989.0,0.0,3452.2414056696257,4080.1986534160646,15211.223592536513,4080.1986534160797,1.5006662579253316e-11,4080.1986534160797,1.5006662579253316e-11,4080.1986534160797,1.5006662579253316e-11,4080.1986534160797,1.5006662579253316e-11,4080.1986534160797,1.5006662579253316e-11,Sorghum
9,05063,1990.0,0.0,4017.1536356882916,3938.6924852905818,15211.223592536513,3991.7004348103237,53.00794951974194,3938.6924852905895,7.73070496506989e-12,4070.5948299147885,131.90234462420676,3938.6924852905895,7.73070496506989e-12,4123.602779434523,184.91029414394097,Sorghum
10,05063,1991.0,0.0,3012.8652267662187,3967.542299186195,15211.223592536513,3967.5422991862097,1.4551915228366852e-11,3967.5422991862097,1.4551915228366852e-11,4055.4771956023424,87.93489641614724,3967.5422991862097,1.4551915228366852e-11,4055.4771956023424,87.93489641614724,Sorghum
11,05063,1992.0,0.8403361344537815,5209.746121283253,4748.068840514731,15211.223592536513,4748.068840514751,2.000888343900442e-11,4748.068840514751,2.000888343900442e-11,4748.068840514751,2.000888343900442e-11,4748.068840514751,2.000888343900442e-11,4748.068840514751,2.000888343900442e-11,Sorghum
12,05063,1993.0,0.0,4425.145801812884,3536.3268100258424,15211.223592536513,3589.334759545601,53.00794951975877,3536.3268100258665,2.4101609596982598e-11,3536.3268100258665,2.4101609596982598e-11,3536.3268100258665,2.4101609596982598e-11,3589.334759545601,53.00794951975877,Sorghum
13,05063,1994.0,0.0,4588.3426682627205,5132.105329898754,15211.223592536513,5132.105329898769,1.546140993013978e-11,5132.105329898769,1.546140993013978e-11,5132.105329898769,1.546140993013978e-11,5176.735389254774,44.630059356020865,5176.735389254774,44.630059356020865,Sorghum
14,05063,1995.0,0.0,4393.761789034069,3996.789885898565,15211.223592536513,4049.7978354183165,53.00794951975149,3996.789885898582,1.6825651982799172e-11,4040.757334106648,43.96744820808317,3996.789885898582,1.6825651982799172e-11,4093.765283626383,96.97539772781784,Sorghum
15,05063,1996.0,0.0,4895.905993495106,4188.57079908432,15211.223592536513,4188.570799084339,1.9099388737231493e-11,4188.570799084339,1.9099388737231493e-11,4188.570799084339,1.9099388737231493e-11,4233.200858440345,44.6300593560245,4233.200858440345,44.6300593560245,Sorghum
16,05063,1997.0,0.0,4268.22573791881,4478.178619753253,15211.223592536513,4478.178619753272,1.9099388737231493e-11,4478.178619753272,1.9099388737231493e-11,4478.178619753272,1.9099388737231493e-11,4522.808679109277,44.6300593560245,4522.808679109277,44.6300593560245,Sorghum
17,05063,1998.0,0.0,3866.510374349981,4580.064965806873,15211.223592536513,4686.0808648463635,106.01589903949025,4580.064965806894,2.091837814077735e-11,4580.064965806894,2.091837814077735e-11,4669.325084518906,89.26011871203264,4775.340983558375,195.27601775150197,Sorghum
18,05063,1999.0,0.0,4770.369942379846,4660.083301954897,15211.223592536513,4819.107150514118,159.02384855922082,4660.083301954915,1.8189894035458565e-11,4660.083301954915,1.8189894035458565e-11,4660.083301954915,1.8189894035458565e-11,4819.107150514118,159.02384855922082,Sorghum
