,GEOID,year,kgha_spr_wheat_yld,pred,harvested_hac,HighD+LowS_pred_yld,HighD+LowS_gap,HighD+HighS_pred_yld,HighD+HighS_gap,LowD+LowS_pred_yld,LowD+LowS_gap,all_pred_yld,all_gap,crop_name
1803,27167,2011.0,2743.819576263679,2760.4174808766147,286242.8192190032,2760.417480876608,0.0,2856.785466604519,96.3679857279044,2760.417480876608,0.0,2856.785466604519,96.3679857279044,Spring Wheat
1804,27167,2012.0,4082.1041244903267,3718.6334026563795,286242.8192190032,3825.714666981607,107.0812643252275,3911.369374112189,192.73597145580925,3718.633402656366,0.0,4018.45063843743,299.8172357810504,Spring Wheat
1805,27167,2013.0,3443.224566291676,3459.2799081867183,286242.8192190032,3459.279908186706,0.0,3690.998247736133,231.71833954941485,3459.279908186706,0.0,3690.998247736133,231.71833954941485,Spring Wheat
1806,27167,2014.0,3470.12475821583,3732.2925671183757,286242.8192190032,3732.2925671183607,0.0,3819.458928075921,87.1663609575453,3732.2925671183607,0.0,3819.458928075921,87.1663609575453,Spring Wheat
1807,27167,2015.0,4256.9553719973255,3878.681530306614,286242.8192190032,3932.222162469232,53.54063216261784,3878.6815303066114,0.0,3878.6815303066114,0.0,3932.222162469232,53.54063216261784,Spring Wheat
1808,27167,2016.0,4384.731283637057,3908.8530528582337,286242.8192190032,4022.79647805312,113.94342519488646,4005.2210385861395,96.36798572790576,3908.8530528582282,0.0,4119.164463781031,210.31141092279768,Spring Wheat
1809,27167,2017.0,4196.42994016798,3713.448441154015,286242.8192190032,3820.5297054792472,107.08126432523204,3906.1844126098285,192.73597145581334,3713.448441154006,0.0,4013.2656769350697,299.8172357810545,Spring Wheat
1810,27167,2018.0,3624.8008617797136,3825.909427487497,286242.8192190032,3986.531323975353,160.62189648785625,3922.2774132154027,96.36798572790576,3825.9094274874915,0.0,4082.8993097032644,256.98988221576747,Spring Wheat
1811,27167,2019.0,3268.373318784677,3527.073480668628,286242.8192190032,3527.073480668615,0.0,3667.024646875306,139.9511662066784,3527.073480668615,0.0,3667.024646875306,139.9511662066784,Spring Wheat
1812,27167,2020.0,3826.552301210866,3746.587854217158,286242.8192190032,3746.587854217154,0.0,3987.5078185369325,240.9199643197744,3746.587854217154,0.0,3987.5078185369325,240.9199643197744,Spring Wheat
1813,27171,1981.0,2790.8949121309483,2078.122447654202,6662.085250240798,2131.1511064291362,53.02865877493423,2078.122447654194,0.0,2078.122447654194,0.0,2131.1511064291362,53.02865877493423,Spring Wheat
1814,27171,1982.0,2757.269672225756,2394.3107873176414,6662.085250240798,2507.7422391248538,113.4314518072124,2394.3107873176405,0.0,2394.3107873176405,0.0,2507.7422391248538,113.4314518072124,Spring Wheat
1815,27171,1983.0,2421.017273173835,2165.8756076319796,6662.085250240798,2379.014189507103,213.13858187512324,2214.0596004959334,48.18399286395379,2165.875607631978,0.0,2427.1981823710585,261.32257473907885,Spring Wheat
1816,27171,1984.0,2622.7687126049873,2737.9115493027753,6662.085250240798,2737.9115493027675,0.0,2737.9115493027675,0.0,2737.9115493027675,0.0,2737.9115493027675,0.0,Spring Wheat
1817,27171,1985.0,3093.5220712776772,2829.345628554591,6662.085250240798,2829.345628554585,0.0,2973.897607146452,144.55197859186137,2829.345628554585,0.0,2973.897607146452,144.55197859186137,Spring Wheat
1818,27171,1986.0,2353.7667933634502,2318.962014066832,6662.085250240798,2426.043278392068,107.08126432523568,2367.1460069307823,48.18399286395015,2318.9620140668267,0.0,2474.2272712560234,155.2652571891913,Spring Wheat
1819,27171,1987.0,1883.0134346907603,2201.2985560066127,6662.085250240798,3417.676705372572,1216.3781493659594,2201.298556006609,0.0,2265.437973884307,64.13941787769454,3481.8161232502707,1280.517567243658,Spring Wheat
1820,27171,1988.0,1681.2619952596074,820.2061518683961,6662.085250240798,3480.9697205548528,2660.763568686457,820.206151868385,0.0,820.206151868385,0.0,3480.9697205548528,2660.763568686457,Spring Wheat
1821,27171,1989.0,2152.0153539322973,2185.17300505439,6662.085250240798,2452.876165867483,267.70316081309284,2185.17300505438,0.0,2185.17300505438,0.0,2452.876165867483,267.70316081309284,Spring Wheat
1822,27171,1990.0,2959.0211116569085,2616.221196267865,6662.085250240798,2616.2211962678557,0.0,2712.589181995767,96.36798572790212,2616.2211962678557,0.0,2712.589181995767,96.36798572790212,Spring Wheat
1823,27171,1991.0,1479.5105558284542,2191.2628258120776,6662.085250240798,2191.2628258120676,0.0,2191.2628258120676,0.0,2191.2628258120676,0.0,2191.2628258120676,0.0,Spring Wheat
1824,27171,1992.0,2488.267752984219,2727.4280793204816,6662.085250240798,2887.026029032976,159.59794971249448,2775.6120721844263,48.183992863944695,2727.4280793204707,0.0,2935.2100218969317,207.7819425764501,Spring Wheat
