,year,HighD+LowS_gap_wyld,HighD+HighS_gap_wyld,LowD+HighS_gap_wyld,all_gap_wyld,kgha_maize_yld_wyld,pred_wyld,HighD+LowS_gap_wyld_%,HighD+HighS_gap_wyld_%,LowD+HighS_gap_wyld_%,all_gap_wyld_%
0,1981.0,0.3767967681379406,0.09625617799398904,0.45219531562739285,0.9252482617592539,6.876735647911958,7.115288778279461,-4.68621394642722,-1.1971361802659588,-5.623944188996803,-11.507294315689128
1,1982.0,0.22147046091838385,0.1251904099524765,0.43841678002344925,0.7850776508942523,7.084812412869527,7.323779230309332,-2.731216793722858,-1.5438724814920484,-5.406640990787542,-9.681730266001741
2,1983.0,1.6848968754265004,0.2871735499336194,0.37680991915104883,2.348880344511119,4.81773857221024,5.220931748456978,-22.258107000987103,-3.7936681440268036,-4.977797526851197,-31.029572671864447
3,1984.0,0.6419495596003387,0.21286251740499407,0.3955071979544719,1.2503192749597678,6.52304597067082,7.038162063445044,-7.745080593061786,-2.5681727292874776,-4.771769179498335,-15.085022501847153
4,1985.0,0.595108717619706,0.17073551815462248,0.20952245580783224,0.97536669158209,7.363145133702351,7.500188088387386,-7.0214721403977425,-2.0144465180984574,-2.472079542250175,-11.507998200745542
5,1986.0,0.2884598828240298,0.15441668058943342,0.3592568661265827,0.802133429539995,7.60140519618308,7.801055756434991,-3.352941294075926,-1.7948771932292877,-4.175856863780785,-9.323675351085408
6,1987.0,1.18266519230913,0.26722723300167445,0.17268027705481223,1.622572702365567,7.541492351736557,7.402519572767862,-13.104189478125255,-2.9609362968837196,-1.9133353077241448,-17.97846108273257
7,1988.0,4.053348913081456,0.14170812257071105,0.022017313677445045,4.217074349329533,4.705354025354623,5.010568974041613,-43.92615504345959,-1.5356913743274232,-0.2386016982438094,-45.70044811602996
8,1989.0,0.7981017154235747,0.05371197644822683,0.2672754663442247,1.1190891582159341,7.085983307729641,7.172533095580364,-9.625398878466344,-0.6477861002849585,-3.2234399754746823,-13.496624954224876
9,1990.0,0.35710309725830075,0.1934792087839543,0.7360021124303892,1.2865844184726083,7.264349439185459,7.400173944157299,-4.1108901888481695,-2.2272889460848164,-8.472690061192921,-14.810869196125493
10,1991.0,1.006090369161262,0.15309717264319736,0.40230198163370345,1.5614895234381077,6.50971673414235,6.777684348319105,-12.064628758595013,-1.835879368838931,-4.8242426386647725,-18.724750766098055
11,1992.0,0.32511684640759886,0.08765231212401763,0.34610190782768335,0.7588710663592152,8.156012938097694,8.149030310979008,-3.6497580365527944,-0.9839838634384283,-3.8853360984459204,-8.519077998436194
12,1993.0,0.15101985885388702,0.06882019274192742,0.7703933465831309,0.9902333981788993,5.947357785422535,6.699111896405461,-1.9640145300829575,-0.8950071833865724,-10.018971928932913,-12.877993642401844
13,1994.0,0.4269415971474531,0.14955097041727897,0.2746944544303827,0.8511870219950569,8.707569632479707,8.627096449580806,-4.504418953366348,-1.5778275767522973,-2.8981455899072395,-8.980392120025273
