,year,HighD+LowS_gap_wyld,HighD+HighS_gap_wyld,LowD+LowS_gap_wyld,all_gap_wyld,kgha_spr_wheat_yld_wyld,pred_wyld,HighD+LowS_gap_wyld_%,HighD+HighS_gap_wyld_%,LowD+LowS_gap_wyld_%,all_gap_wyld_%
0,1981.0,0.5436219969301402,0.036491158085138684,0.044649133949876636,0.6247622889651733,1.9186565266353557,1.8636759302341903,-21.845910930633696,-1.4664281316527699,-1.794263309628887,-25.106602371916065
1,1982.0,0.3391572281506678,0.03795477123589234,0.005226327672056239,0.38233832705863036,2.132456698459319,2.0986726358099412,-13.670122108550887,-1.5298107023279182,-0.21065314705475963,-15.410585957934128
2,1983.0,0.694367084779784,0.07574943988079567,0.0035995213869291615,0.7737160460475235,1.9360881289944696,1.8601488528893673,-26.363048653712344,-2.875980461692264,-0.13666309871785906,-29.375692214123028
3,1984.0,0.8564620460052532,0.026175802240145738,0.008015083656384168,0.8906529319018035,2.1983999431592274,2.0212404868494396,-29.41254788001631,-0.8989272090656104,-0.27525333189637874,-30.586728420978996
4,1985.0,0.8989846715054457,0.06157831222484396,0.010363270480776112,0.9709262542110817,2.25120109872288,2.155785262775943,-28.751762566561595,-1.9694273645105036,-0.3314431288103743,-31.052633059882982
5,1986.0,0.310417413341345,0.12117917754540874,0.0032053599027129466,0.4348019507894808,2.0555072521909463,2.0014982512962036,-12.741344973644905,-4.973901715464656,-0.13156670511987317,-17.84681339423001
6,1987.0,0.7788015340764138,0.13408366372898903,0.010613098099144968,0.9234982959045649,2.1213090118566797,2.1444179615054155,-25.385358293120415,-4.370512506823969,-0.34593832453904194,-30.10180912448398
7,1988.0,2.429872877309487,0.0431726923864159,0.025595189760411856,2.4986407594563347,1.0163688457925386,0.9797958893104279,-69.85531497809421,-1.2411521825968068,-0.7358245196009627,-71.83229168029257
8,1989.0,1.2110092533274035,0.04700081384738894,0.008071610007778339,1.2660816771825891,1.720840925683182,1.6221272860732294,-41.92941953764514,-1.6273342561199549,-0.2794676600781468,-43.83622145384388
9,1990.0,0.6084852125001554,0.02653496334303697,0.03797023810513035,0.672990413948338,2.2235121057428855,2.160706626082104,-21.473192225715792,-0.9364079140496935,-1.3399540447952207,-23.749554184561248
10,1991.0,0.3141584592972253,0.03637813563202096,0.013739699693634875,0.36427629462289496,2.083074301498656,2.021138176018145,-13.169973736798893,-1.5250236837141746,-0.575987940994697,-15.270985361508343
11,1992.0,0.4704167764943667,0.04005762476623744,0.02949580796494855,0.5399702092255693,2.6397947610255437,2.4918923337198264,-15.515768602008123,-1.3212216648622281,-0.9728609904687152,-17.809851257339613
12,1993.0,0.07181822521440218,0.03928093111020378,0.011750979439233694,0.12285013576385868,2.1327795872863824,2.017315465493947,-3.355732153259243,-1.8354154971520813,-0.5490686997458272,-5.7402163501580405
13,1994.0,0.3661518700978004,0.02395917735728143,0.007569486608819601,0.39768053406391835,2.0117831956274133,2.0336781265627204,-15.059558099232936,-0.9854234073020878,-0.3113274372637685,-16.356308943799487
14,1995.0,0.2137249895210128,0.050200872028004724,0.006021493639481112,0.26994735518851115,1.984153572367011,2.106131568759605,-8.994860707988824,-2.1127611344066994,-0.25342144904327246,-11.361043291439325
15,1996.0,0.2780122803300723,0.051368931973920534,0.006670299820797961,0.33605151212480777,2.2368572342078283,2.310021094802018,-10.506600597515668,-1.9413273785249947,-0.252083023093796,-12.7000109991351
16,1997.0,0.2623694990086518,0.040995775757059566,0.003798439266287844,0.3071637140320185,1.8555823350423615,1.9683263649446026,-11.530241394269222,-1.8016240165501844,-0.16692840374835446,-13.498793814568607
17,1998.0,0.33702303235673586,0.03512905480764778,0.021388894349775044,0.3935409815141735,2.207762816547587,2.247819789565698,-12.759447177636027,-1.329960495827532,-0.8097680023100589,-14.899175675774176
18,1999.0,0.2687479247221569,0.02846863698273318,0.0038471357022844227,0.30106369740719113,2.1187905401362506,2.2408082676707695,-10.572834840401345,-1.1199870557547942,-0.15135049110022458,-11.844172387257016
19,2000.0,0.40302219198878586,0.034255972145571405,0.014081209200909186,0.45135937333528375,2.4521103641531887,2.5127717000441705,-13.596638677968235,-1.1556834464312542,-0.47505352672731066,-15.227375651127383
20,2001.0,0.3682083570168126,0.049293107080739904,0.004880815066786439,0.4223822791643547,2.2814462443079315,2.4583040468058734,-12.781966356326505,-1.7111584359722944,-0.16943236834862815,-14.662557160647975
21,2002.0,0.5968038347427451,0.08260623092202926,0.01237802441974184,0.6917880900845299,1.7831664500859694,1.823714498862055,-23.72503361217641,-3.28388574454309,-0.4920696354729404,-27.500988992192987
22,2003.0,0.5616020483660551,0.024396580536340386,0.01109760782457191,0.5970962367269844,2.618733658554906,2.6234161349993705,-17.43828259430062,-0.7575372400529735,-0.34459137378264565,-18.54041120813677
23,2004.0,0.3097237193737478,0.019072830007302546,0.023813550602849,0.35261009998392023,2.830296326719776,2.8951164156786726,-9.536631790887071,-0.587267121025163,-0.7332375582736104,-10.857136470186488
24,2005.0,0.31066820665905237,0.04668921154893045,0.015941507773833526,0.37329892598183156,2.3655586182793162,2.5129854631403727,-10.763603469910835,-1.6176233958404174,-0.5523193706730251,-12.933546236424807
25,2006.0,1.3692895224834072,0.0615096455942334,0.012686333100936597,1.4434855011785985,2.1440022558716496,2.249071479549054,-37.08242092485127,-1.6657737691054493,-0.3435649921490619,-39.09175968610635
26,2007.0,0.5412209149038814,0.06012772209113754,0.007147550470062386,0.6084961874650991,2.420003767511273,2.4994391965326463,-17.41416239509161,-1.9346516147254997,-0.22997744762854344,-19.578791457446226
